Date,GoogleIndex,MovieTitle,Studio
2018-11-20,55,The Favourite,FoxS
2018-11-21,48,The Favourite,FoxS
2018-11-22,100,The Favourite,FoxS
2018-11-23,97,The Favourite,FoxS
2018-11-24,93,The Favourite,FoxS
2018-11-25,69,The Favourite,FoxS
2018-11-26,79,The Favourite,FoxS
2018-11-27,78,The Favourite,FoxS
2018-10-31,44,Smallfoot,WB
2018-11-01,64,Smallfoot,WB
2018-11-02,100,Smallfoot,WB
2018-11-03,76,Smallfoot,WB
2018-11-04,32,Smallfoot,WB
2018-11-05,37,Smallfoot,WB
2018-11-06,23,Smallfoot,WB
2018-11-07,23,Smallfoot,WB
2018-11-08,36,Smallfoot,WB
2018-11-09,60,Smallfoot,WB
2018-11-10,52,Smallfoot,WB
2018-11-11,29,Smallfoot,WB
2018-11-12,18,Smallfoot,WB
2018-11-13,15,Smallfoot,WB
2018-11-14,16,Smallfoot,WB
2018-11-15,20,Smallfoot,WB
2018-11-16,28,Smallfoot,WB
2018-11-17,27,Smallfoot,WB
2018-11-18,12,Smallfoot,WB
2018-11-19,11,Smallfoot,WB
2018-11-20,13,Smallfoot,WB
2018-11-21,11,Smallfoot,WB
2018-11-22,17,Smallfoot,WB
2018-11-23,20,Smallfoot,WB
2018-11-24,18,Smallfoot,WB
2018-11-25,7,Smallfoot,WB
2018-11-26,8,Smallfoot,WB
2018-11-27,8,Smallfoot,WB
2018-10-31,46,The Hate U Give,Fox
2018-11-01,64,The Hate U Give,Fox
2018-11-02,100,The Hate U Give,Fox
2018-11-03,85,The Hate U Give,Fox
2018-11-04,52,The Hate U Give,Fox
2018-11-05,51,The Hate U Give,Fox
2018-11-06,43,The Hate U Give,Fox
2018-11-07,34,The Hate U Give,Fox
2018-11-08,49,The Hate U Give,Fox
2018-11-09,70,The Hate U Give,Fox
2018-11-10,68,The Hate U Give,Fox
2018-11-11,43,The Hate U Give,Fox
2018-11-12,34,The Hate U Give,Fox
2018-11-13,26,The Hate U Give,Fox
2018-11-14,24,The Hate U Give,Fox
2018-11-15,30,The Hate U Give,Fox
2018-11-16,40,The Hate U Give,Fox
2018-11-17,40,The Hate U Give,Fox
2018-11-18,31,The Hate U Give,Fox
2018-11-19,28,The Hate U Give,Fox
2018-11-20,27,The Hate U Give,Fox
